Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Sales Manager,$125000 - $226000,Develop and maintain software systems,4.4,Code Masters,"Austin, TX","Austin, TX","500-1,000",2011,Public,Health,Technology,$300M,"DevSoft, CodeTech"
Software Engineer,$123000 - $140000,Lead marketing campaigns and strategies,3.4,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2005,Private,Retail,Services,$100M,"AdFocus, BrandBoost"
UX Designer,$191000 - $88000,Conduct financial analysis to support decision making,3.1,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1992,Public,Education,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$158000 - $117000,Manage human resources and employee relations,4.1,People Solutions,"Miami, FL","Miami, FL",200-500,1982,Private,Software,Services,$150M,"Workplace Solutions, HR Hub"
Data Analyst,$84000 - $129000,Analyze and interpret complex data using ML techniques,4.0,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1972,Private,Health,IT,$500M,"DataWorld, Insight Global"
Data Scientist,$64000 - $238000,Lead and manage projects to successful completion,4.3,Project Leads,"Denver, CO","Denver, CO","500-1,000",2010,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
Operations Manager,$182000 - $138000,Analyze business processes and provide solutions,3.9,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2019,Public,Retail,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Analyst,$70000 - $132000,Conduct financial analysis to support decision making,4.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2008,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Sales Manager,$145000 - $143000,Manage human resources and employee relations,4.1,People Solutions,"Miami, FL","Miami, FL",200-500,1972,Private,Retail,Services,$150M,"Workplace Solutions, HR Hub"
Financial Analyst,$107000 - $82000,Conduct financial analysis to support decision making,4.6,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1991,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$195000 - $149000,Design user interfaces and improve user experiences,3.5,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1994,Private,Software,Creative,$250M,"UserFlow, ExperienceHub"
Data Analyst,$126000 - $91000,Develop and maintain software systems,4.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",1974,Public,Education,Technology,$300M,"DevSoft, CodeTech"
UX Designer,$77000 - $87000,Develop and maintain software systems,4.2,Code Masters,"Austin, TX","Austin, TX","500-1,000",1973,Public,Health,Technology,$300M,"DevSoft, CodeTech"
Financial Analyst,$111000 - $166000,Prepare and manage financial records and reports,4.1,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2008,Public,Consulting,Financial,$100M,"Accounting Solutions, TaxPro"
Product Manager,$65000 - $203000,Biology expert to teach students,4.3,bio,"Miami, FL","Miami, FL",200-500,1974,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Data Scientist,$107000 - $238000,Analyze and interpret complex data using ML techniques,5.0,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1971,Private,Health,IT,$500M,"DataWorld, Insight Global"
Product Manager,$77000 - $204000,Prepare and manage financial records and reports,4.4,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1999,Public,Consulting,Financial,$100M,"Accounting Solutions, TaxPro"
Product Manager,$74000 - $92000,Oversee product development from ideation to launch,4.2,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1970,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Project Manager,$99000 - $175000,Analyze business processes and provide solutions,4.8,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1974,Public,Retail,Professional Services,$400M,"ConsultMaster, BizExperts"
Sales Manager,$166000 - $213000,Oversee product development from ideation to launch,3.5,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1980,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Sales Manager,$95000 - $154000,Biology expert to teach students,3.3,bio,"Miami, FL","Miami, FL",200-500,2000,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Product Manager,$189000 - $105000,Analyze business processes and provide solutions,3.3,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2019,Public,Technology,Professional Services,$400M,"ConsultMaster, BizExperts"
UX Designer,$111000 - $154000,Prepare and manage financial records and reports,4.5,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1971,Public,Technology,Financial,$100M,"Accounting Solutions, TaxPro"
Marketing Manager,$163000 - $207000,Design user interfaces and improve user experiences,4.3,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1984,Private,Finance,Creative,$250M,"UserFlow, ExperienceHub"
Data Scientist,$133000 - $224000,Lead marketing campaigns and strategies,4.9,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1972,Private,Finance,Services,$100M,"AdFocus, BrandBoost"
UX Designer,$95000 - $176000,Analyze business processes and provide solutions,3.2,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1995,Public,Retail,Professional Services,$400M,"ConsultMaster, BizExperts"
Data Analyst,$128000 - $161000,Manage human resources and employee relations,3.2,People Solutions,"Miami, FL","Miami, FL",200-500,1973,Private,Software,Services,$150M,"Workplace Solutions, HR Hub"
Operations Manager,$141000 - $116000,Oversee product development from ideation to launch,4.9,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1992,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Analyst,$81000 - $175000,Lead marketing campaigns and strategies,3.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2011,Private,Software,Services,$100M,"AdFocus, BrandBoost"
Operations Manager,$108000 - $224000,Analyze business processes and provide solutions,3.1,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1984,Public,Technology,Professional Services,$400M,"ConsultMaster, BizExperts"
Software Engineer,$143000 - $217000,Design user interfaces and improve user experiences,4.5,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2002,Private,Software,Creative,$250M,"UserFlow, ExperienceHub"
Data Analyst,$127000 - $206000,Manage human resources and employee relations,3.9,People Solutions,"Miami, FL","Miami, FL",200-500,1975,Private,Education,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$116000 - $179000,Prepare and manage financial records and reports,3.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1989,Public,Education,Financial,$100M,"Accounting Solutions, TaxPro"
Sales Manager,$149000 - $205000,Lead and manage projects to successful completion,3.6,Project Leads,"Denver, CO","Denver, CO","500-1,000",1985,Private,Marketing,Services,$300M,"TeamPro, ProjectSolutions"
Operations Manager,$59000 - $130000,Analyze and interpret complex data using ML techniques,3.4,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1978,Private,Consulting,IT,$500M,"DataWorld, Insight Global"
Data Scientist,$195000 - $248000,Design user interfaces and improve user experiences,4.3,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1981,Private,Retail,Creative,$250M,"UserFlow, ExperienceHub"
UX Designer,$136000 - $189000,Biology expert to teach students,4.6,bio,"Miami, FL","Miami, FL",200-500,1988,Private,Retail,Services,$15M,"Chaithanya,narayana"
Sales Manager,$69000 - $150000,Lead marketing campaigns and strategies,4.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1983,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
Project Manager,$95000 - $129000,Lead and manage projects to successful completion,4.0,Project Leads,"Denver, CO","Denver, CO","500-1,000",2001,Private,Education,Services,$300M,"TeamPro, ProjectSolutions"
UX Designer,$54000 - $234000,Design user interfaces and improve user experiences,4.5,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2016,Private,Retail,Creative,$250M,"UserFlow, ExperienceHub"
Product Manager,$175000 - $127000,Manage human resources and employee relations,4.8,People Solutions,"Miami, FL","Miami, FL",200-500,1986,Private,Health,Services,$150M,"Workplace Solutions, HR Hub"
UX Designer,$136000 - $198000,Biology expert to teach students,3.6,bio,"Miami, FL","Miami, FL",200-500,2008,Private,Retail,Services,$15M,"Chaithanya,narayana"
Operations Manager,$125000 - $173000,Develop and maintain software systems,4.5,Code Masters,"Austin, TX","Austin, TX","500-1,000",2017,Public,Technology,Technology,$300M,"DevSoft, CodeTech"
UX Designer,$67000 - $147000,Lead marketing campaigns and strategies,3.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1991,Private,Retail,Services,$100M,"AdFocus, BrandBoost"
Product Manager,$152000 - $108000,Lead and manage projects to successful completion,3.6,Project Leads,"Denver, CO","Denver, CO","500-1,000",1996,Private,Health,Services,$300M,"TeamPro, ProjectSolutions"
Operations Manager,$150000 - $88000,Design user interfaces and improve user experiences,4.2,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1979,Private,Consulting,Creative,$250M,"UserFlow, ExperienceHub"
Data Scientist,$151000 - $221000,Design user interfaces and improve user experiences,4.4,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1985,Private,Marketing,Creative,$250M,"UserFlow, ExperienceHub"
Operations Manager,$121000 - $201000,Manage human resources and employee relations,4.7,People Solutions,"Miami, FL","Miami, FL",200-500,1976,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Software Engineer,$147000 - $169000,Biology expert to teach students,3.1,bio,"Miami, FL","Miami, FL",200-500,1988,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Financial Analyst,$60000 - $207000,Prepare and manage financial records and reports,3.9,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1997,Public,Education,Financial,$100M,"Accounting Solutions, TaxPro"
Data Scientist,$73000 - $126000,Conduct financial analysis to support decision making,3.9,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1970,Public,Finance,Financial,$500M,"MoneyWorks, CapitalInsights"
Software Engineer,$128000 - $85000,Biology expert to teach students,3.3,bio,"Miami, FL","Miami, FL",200-500,1991,Private,Health,Services,$15M,"Chaithanya,narayana"
Operations Manager,$90000 - $169000,Lead marketing campaigns and strategies,4.5,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1990,Private,Retail,Services,$100M,"AdFocus, BrandBoost"
Product Manager,$72000 - $127000,Lead and manage projects to successful completion,4.7,Project Leads,"Denver, CO","Denver, CO","500-1,000",2004,Private,Health,Services,$300M,"TeamPro, ProjectSolutions"
Data Analyst,$135000 - $157000,Lead and manage projects to successful completion,4.9,Project Leads,"Denver, CO","Denver, CO","500-1,000",1970,Private,Finance,Services,$300M,"TeamPro, ProjectSolutions"
UX Designer,$170000 - $98000,Biology expert to teach students,4.8,bio,"Miami, FL","Miami, FL",200-500,1974,Private,Finance,Services,$15M,"Chaithanya,narayana"
Data Analyst,$152000 - $117000,Conduct financial analysis to support decision making,4.1,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2007,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Data Scientist,$149000 - $158000,Design user interfaces and improve user experiences,4.2,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1991,Private,Education,Creative,$250M,"UserFlow, ExperienceHub"
Operations Manager,$162000 - $206000,Lead marketing campaigns and strategies,4.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2010,Private,Consulting,Services,$100M,"AdFocus, BrandBoost"
Data Analyst,$172000 - $211000,Conduct financial analysis to support decision making,3.1,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2002,Public,Technology,Financial,$500M,"MoneyWorks, CapitalInsights"
Operations Manager,$161000 - $87000,Analyze and interpret complex data using ML techniques,4.2,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2016,Private,Technology,IT,$500M,"DataWorld, Insight Global"
Financial Analyst,$151000 - $203000,Lead and manage projects to successful completion,3.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",1992,Private,Finance,Services,$300M,"TeamPro, ProjectSolutions"
Marketing Manager,$90000 - $199000,Develop and maintain software systems,3.2,Code Masters,"Austin, TX","Austin, TX","500-1,000",1992,Public,Retail,Technology,$300M,"DevSoft, CodeTech"
Software Engineer,$141000 - $130000,Develop and maintain software systems,4.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",2011,Public,Marketing,Technology,$300M,"DevSoft, CodeTech"
Data Scientist,$165000 - $200000,Biology expert to teach students,3.9,bio,"Miami, FL","Miami, FL",200-500,1986,Private,Software,Services,$15M,"Chaithanya,narayana"
Financial Analyst,$67000 - $141000,Lead and manage projects to successful completion,4.2,Project Leads,"Denver, CO","Denver, CO","500-1,000",2003,Private,Technology,Services,$300M,"TeamPro, ProjectSolutions"
Product Manager,$191000 - $203000,Analyze and interpret complex data using ML techniques,4.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2000,Private,Software,IT,$500M,"DataWorld, Insight Global"
Financial Analyst,$118000 - $212000,Prepare and manage financial records and reports,3.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2020,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
UX Designer,$191000 - $142000,Analyze and interpret complex data using ML techniques,4.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1982,Private,Finance,IT,$500M,"DataWorld, Insight Global"
Software Engineer,$56000 - $82000,Oversee product development from ideation to launch,5.0,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1986,Public,Marketing,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Marketing Manager,$158000 - $191000,Analyze and interpret complex data using ML techniques,4.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1999,Private,Finance,IT,$500M,"DataWorld, Insight Global"
Operations Manager,$91000 - $241000,Oversee product development from ideation to launch,3.5,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2011,Public,Marketing,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Project Manager,$194000 - $217000,Manage human resources and employee relations,5.0,People Solutions,"Miami, FL","Miami, FL",200-500,1974,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$161000 - $241000,Analyze business processes and provide solutions,5.0,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2022,Public,Health,Professional Services,$400M,"ConsultMaster, BizExperts"
Project Manager,$55000 - $147000,Prepare and manage financial records and reports,5.0,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2011,Public,Technology,Financial,$100M,"Accounting Solutions, TaxPro"
Financial Analyst,$51000 - $85000,Lead marketing campaigns and strategies,3.8,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2013,Private,Technology,Services,$100M,"AdFocus, BrandBoost"
UX Designer,$171000 - $240000,Manage human resources and employee relations,4.9,People Solutions,"Miami, FL","Miami, FL",200-500,2002,Private,Software,Services,$150M,"Workplace Solutions, HR Hub"
Software Engineer,$87000 - $225000,Manage human resources and employee relations,5.0,People Solutions,"Miami, FL","Miami, FL",200-500,2007,Private,Marketing,Services,$150M,"Workplace Solutions, HR Hub"
Data Scientist,$154000 - $193000,Prepare and manage financial records and reports,4.3,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2014,Public,Retail,Financial,$100M,"Accounting Solutions, TaxPro"
Data Scientist,$192000 - $137000,Oversee product development from ideation to launch,3.1,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1972,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Financial Analyst,$95000 - $227000,Analyze and interpret complex data using ML techniques,3.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1993,Private,Marketing,IT,$500M,"DataWorld, Insight Global"
